year,state,incident_date,days_from_transition,crime_type,avg_daily_count,avg_daily_rate_per_100k
2022,AZ,2022-02-27,-14,burglary,19,0.2691599757982683
2022,AZ,2022-02-27,-14,motor_vehicle_theft,11,0.15582945967268164
2022,AZ,2022-02-27,-14,robbery,7,0.09916420160988831
2022,AZ,2022-02-27,-14,shoplifting,41,0.5808188951436316
2022,AZ,2022-02-27,-14,theft_from_building,7,0.09916420160988831
2022,AZ,2022-02-27,-14,theft_from_motor_vehicle,38,0.5383199515965366
2022,AZ,2022-02-28,-13,burglary,22,0.31165891934536327
2022,AZ,2022-02-28,-13,motor_vehicle_theft,23,0.3258252338610616
2022,AZ,2022-02-28,-13,robbery,7,0.09916420160988831
2022,AZ,2022-02-28,-13,shoplifting,39,0.552486266112235
2022,AZ,2022-02-28,-13,theft_from_building,10,0.1416631451569833
2022,AZ,2022-02-28,-13,theft_from_motor_vehicle,49,0.6941494112692181
2022,AZ,2022-03-01,-12,burglary,27,0.3824904919238549
2022,AZ,2022-03-01,-12,motor_vehicle_theft,19,0.2691599757982683
2022,AZ,2022-03-01,-12,robbery,3,0.04249894354709499
2022,AZ,2022-03-01,-12,shoplifting,44,0.6233178386907265
2022,AZ,2022-03-01,-12,theft_from_building,19,0.2691599757982683
2022,AZ,2022-03-01,-12,theft_from_motor_vehicle,42,0.5949852096593299
2022,AZ,2022-03-02,-11,burglary,21,0.29749260482966494
2022,AZ,2022-03-02,-11,motor_vehicle_theft,21,0.29749260482966494
2022,AZ,2022-03-02,-11,robbery,1,0.01416631451569833
2022,AZ,2022-03-02,-11,shoplifting,48,0.6799830967535199
2022,AZ,2022-03-02,-11,theft_from_building,9,0.12749683064128498
2022,AZ,2022-03-02,-11,theft_from_motor_vehicle,34,0.48165469353374324
2022,AZ,2022-03-03,-10,burglary,30,0.42498943547094997
2022,AZ,2022-03-03,-10,motor_vehicle_theft,15,0.21249471773547499
2022,AZ,2022-03-03,-10,robbery,3,0.04249894354709499
2022,AZ,2022-03-03,-10,shoplifting,48,0.6799830967535199
2022,AZ,2022-03-03,-10,theft_from_building,6,0.08499788709418998
2022,AZ,2022-03-03,-10,theft_from_motor_vehicle,37,0.5241536370808382
2022,AZ,2022-03-04,-9,burglary,27,0.3824904919238549
2022,AZ,2022-03-04,-9,motor_vehicle_theft,21,0.29749260482966494
2022,AZ,2022-03-04,-9,robbery,4,0.05666525806279332
2022,AZ,2022-03-04,-9,shoplifting,47,0.6658167822378215
2022,AZ,2022-03-04,-9,theft_from_building,17,0.24082734676687162
2022,AZ,2022-03-04,-9,theft_from_motor_vehicle,38,0.5383199515965366
2022,AZ,2022-03-05,-8,burglary,26,0.3683241774081566
2022,AZ,2022-03-05,-8,motor_vehicle_theft,18,0.25499366128256995
2022,AZ,2022-03-05,-8,robbery,8,0.11333051612558664
2022,AZ,2022-03-05,-8,shoplifting,46,0.6516504677221232
2022,AZ,2022-03-05,-8,theft_from_building,8,0.11333051612558664
2022,AZ,2022-03-05,-8,theft_from_motor_vehicle,35,0.4958210080494416
2022,AZ,2022-03-06,-7,burglary,19,0.2691599757982683
2022,AZ,2022-03-06,-7,motor_vehicle_theft,17,0.24082734676687162
2022,AZ,2022-03-06,-7,robbery,4,0.05666525806279332
2022,AZ,2022-03-06,-7,shoplifting,47,0.6658167822378215
2022,AZ,2022-03-06,-7,theft_from_building,7,0.09916420160988831
2022,AZ,2022-03-06,-7,theft_from_motor_vehicle,28,0.39665680643955326
2022,AZ,2022-03-07,-6,burglary,23,0.3258252338610616
2022,AZ,2022-03-07,-6,motor_vehicle_theft,23,0.3258252338610616
2022,AZ,2022-03-07,-6,robbery,2,0.02833262903139666
2022,AZ,2022-03-07,-6,shoplifting,56,0.7933136128791065
2022,AZ,2022-03-07,-6,theft_from_building,13,0.1841620887040783
2022,AZ,2022-03-07,-6,theft_from_motor_vehicle,31,0.43915574998664825
2022,AZ,2022-03-08,-5,burglary,27,0.3824904919238549
2022,AZ,2022-03-08,-5,motor_vehicle_theft,16,0.2266610322511733
2022,AZ,2022-03-08,-5,robbery,5,0.07083157257849165
2022,AZ,2022-03-08,-5,shoplifting,57,0.8074799273948048
2022,AZ,2022-03-08,-5,theft_from_building,15,0.21249471773547499
2022,AZ,2022-03-08,-5,theft_from_motor_vehicle,24,0.33999154837675993
2022,AZ,2022-03-09,-4,burglary,15,0.21249471773547499
2022,AZ,2022-03-09,-4,motor_vehicle_theft,17,0.24082734676687162
2022,AZ,2022-03-09,-4,robbery,1,0.01416631451569833
2022,AZ,2022-03-09,-4,shoplifting,55,0.7791472983634081
