state,hour,offense_type,period,crime_count,avg_population,crime_rate_per_100k
AZ,1,burglary,DST,496,596544.3611111111,83.14553490643357
AZ,1,burglary,standard,224,596544.3611111111,37.54959640935709
AZ,1,motor_vehicle_theft,DST,489,596544.3611111111,81.97211001864116
AZ,1,motor_vehicle_theft,standard,243,596544.3611111111,40.734606819079346
AZ,2,burglary,DST,467,596544.3611111111,78.28420322843644
AZ,2,burglary,standard,235,596544.3611111111,39.393549804459454
AZ,2,motor_vehicle_theft,DST,447,596544.3611111111,74.9315606918867
AZ,2,motor_vehicle_theft,standard,230,596544.3611111111,38.555389170322016
AZ,3,burglary,DST,505,596544.3611111111,84.65422404788096
AZ,3,burglary,standard,240,596544.3611111111,40.231710438596885
AZ,3,motor_vehicle_theft,DST,425,596544.3611111111,71.243653901682
AZ,3,motor_vehicle_theft,standard,192,596544.3611111111,32.18536835087751
AZ,4,burglary,DST,448,596544.3611111111,75.09919281871419
AZ,4,burglary,standard,192,596544.3611111111,32.18536835087751
AZ,4,motor_vehicle_theft,DST,390,596544.3611111111,65.37652946271994
AZ,4,motor_vehicle_theft,standard,163,596544.3611111111,27.324036672880386
AZ,5,burglary,DST,491,596544.3611111111,82.30737427229613
AZ,5,burglary,standard,207,596544.3611111111,34.69985025328982
AZ,5,motor_vehicle_theft,DST,381,596544.3611111111,63.86784032127255
AZ,5,motor_vehicle_theft,standard,187,596544.3611111111,31.347207716740076
AZ,6,burglary,DST,579,596544.3611111111,97.05900143311499
AZ,6,burglary,standard,241,596544.3611111111,40.39934256542438
AZ,6,motor_vehicle_theft,DST,493,596544.3611111111,82.6426385259511
AZ,6,motor_vehicle_theft,standard,266,596544.3611111111,44.59014573611155
AZ,7,burglary,DST,707,596544.3611111111,118.51591366703333
AZ,7,burglary,standard,302,596544.3611111111,50.62490230190108
AZ,7,motor_vehicle_theft,DST,621,596544.3611111111,104.09955075986944
AZ,7,motor_vehicle_theft,standard,326,596544.3611111111,54.64807334576077
AZ,8,burglary,DST,1000,596544.3611111111,167.63212682748704
AZ,8,burglary,standard,456,596544.3611111111,76.44024983333408
AZ,8,motor_vehicle_theft,DST,732,596544.3611111111,122.7067168377205
AZ,8,motor_vehicle_theft,standard,411,596544.3611111111,68.89680412609717
AZ,9,burglary,DST,885,596544.3611111111,148.35443224232603
AZ,9,burglary,standard,421,596544.3611111111,70.57312539437204
AZ,9,motor_vehicle_theft,DST,690,596544.3611111111,115.66616751096605
AZ,9,motor_vehicle_theft,standard,361,596544.3611111111,60.515197784722815
AZ,10,burglary,DST,820,596544.3611111111,137.45834399853936
AZ,10,burglary,standard,435,596544.3611111111,72.91997516995686
AZ,10,motor_vehicle_theft,DST,675,596544.3611111111,113.15168560855375
AZ,10,motor_vehicle_theft,standard,312,596544.3611111111,52.30122357017596
AZ,11,burglary,DST,810,596544.3611111111,135.7820227302645
AZ,11,burglary,standard,399,596544.3611111111,66.88521860416732
AZ,11,motor_vehicle_theft,DST,635,596544.3611111111,106.44640053545426
AZ,11,motor_vehicle_theft,standard,312,596544.3611111111,52.30122357017596
AZ,12,burglary,DST,1109,596544.3611111111,185.9040286516831
AZ,12,burglary,standard,512,596544.3611111111,85.82764893567335
AZ,12,motor_vehicle_theft,DST,866,596544.3611111111,145.16942183260377
AZ,12,motor_vehicle_theft,standard,399,596544.3611111111,66.88521860416732
AZ,13,burglary,DST,823,596544.3611111111,137.96124037902183
AZ,13,burglary,standard,376,596544.3611111111,63.02967968713513
AZ,13,motor_vehicle_theft,DST,693,596544.3611111111,116.1690638914485
AZ,13,motor_vehicle_theft,standard,297,596544.3611111111,49.78674166776364
AZ,14,burglary,DST,916,596544.3611111111,153.55102817397812
AZ,14,burglary,standard,411,596544.3611111111,68.89680412609717
AZ,14,motor_vehicle_theft,DST,756,596544.3611111111,126.72988788158018
AZ,14,motor_vehicle_theft,standard,382,596544.3611111111,64.03547244810005
AZ,15,burglary,DST,973,596544.3611111111,163.10605940314488
AZ,15,burglary,standard,551,596544.3611111111,92.36530188194536
