state,year,hour,offense_type,period,crime_count,data_year,population,crime_rate_per_100k
AZ,2022,1,burglary,DST,160,2022,7058999,2.266610322511733
AZ,2022,1,burglary,standard,71,2022,7058999,1.0058083306145815
AZ,2022,1,motor_vehicle_theft,DST,148,2022,7058999,2.0966145483233527
AZ,2022,1,motor_vehicle_theft,standard,64,2022,7058999,0.9066441290046932
AZ,2022,2,burglary,DST,142,2022,7058999,2.011616661229163
AZ,2022,2,burglary,standard,81,2022,7058999,1.1474714757715647
AZ,2022,2,motor_vehicle_theft,DST,107,2022,7058999,1.5157956531797214
AZ,2022,2,motor_vehicle_theft,standard,56,2022,7058999,0.7933136128791065
AZ,2022,3,burglary,DST,169,2022,7058999,2.3941071531530183
AZ,2022,3,burglary,standard,73,2022,7058999,1.034140959645978
AZ,2022,3,motor_vehicle_theft,DST,98,2022,7058999,1.3882988225384363
AZ,2022,3,motor_vehicle_theft,standard,51,2022,7058999,0.7224820403006149
AZ,2022,4,burglary,DST,132,2022,7058999,1.8699535160721796
AZ,2022,4,burglary,standard,62,2022,7058999,0.8783114999732965
AZ,2022,4,motor_vehicle_theft,DST,120,2022,7058999,1.6999577418837999
AZ,2022,4,motor_vehicle_theft,standard,46,2022,7058999,0.6516504677221232
AZ,2022,5,burglary,DST,156,2022,7058999,2.20994506444894
AZ,2022,5,burglary,standard,53,2022,7058999,0.7508146693320115
AZ,2022,5,motor_vehicle_theft,DST,117,2022,7058999,1.6574587983367046
AZ,2022,5,motor_vehicle_theft,standard,50,2022,7058999,0.7083157257849165
AZ,2022,6,burglary,DST,204,2022,7058999,2.8899281612024597
AZ,2022,6,burglary,standard,76,2022,7058999,1.0766399031930731
AZ,2022,6,motor_vehicle_theft,DST,131,2022,7058999,1.8557872015564814
AZ,2022,6,motor_vehicle_theft,standard,67,2022,7058999,0.9491430725517881
AZ,2022,7,burglary,DST,255,2022,7058999,3.6124102015030743
AZ,2022,7,burglary,standard,106,2022,7058999,1.501629338664023
AZ,2022,7,motor_vehicle_theft,DST,177,2022,7058999,2.5074376692786045
AZ,2022,7,motor_vehicle_theft,standard,92,2022,7058999,1.3033009354442464
AZ,2022,8,burglary,DST,353,2022,7058999,5.000709024041511
AZ,2022,8,burglary,standard,147,2022,7058999,2.0824482338076544
AZ,2022,8,motor_vehicle_theft,DST,212,2022,7058999,3.003258677328046
AZ,2022,8,motor_vehicle_theft,standard,138,2022,7058999,1.9549514031663695
AZ,2022,9,burglary,DST,320,2022,7058999,4.533220645023466
AZ,2022,9,burglary,standard,133,2022,7058999,1.884119830587878
AZ,2022,9,motor_vehicle_theft,DST,185,2022,7058999,2.620768185404191
AZ,2022,9,motor_vehicle_theft,standard,116,2022,7058999,1.6432924838210063
AZ,2022,10,burglary,DST,285,2022,7058999,4.037399636974024
AZ,2022,10,burglary,standard,148,2022,7058999,2.0966145483233527
AZ,2022,10,motor_vehicle_theft,DST,200,2022,7058999,2.833262903139666
AZ,2022,10,motor_vehicle_theft,standard,90,2022,7058999,1.2749683064128499
AZ,2022,11,burglary,DST,274,2022,7058999,3.8815701773013425
AZ,2022,11,burglary,standard,133,2022,7058999,1.884119830587878
AZ,2022,11,motor_vehicle_theft,DST,192,2022,7058999,2.7199323870140795
AZ,2022,11,motor_vehicle_theft,standard,71,2022,7058999,1.0058083306145815
AZ,2022,12,burglary,DST,384,2022,7058999,5.439864774028159
AZ,2022,12,burglary,standard,144,2022,7058999,2.0399492902605596
AZ,2022,12,motor_vehicle_theft,DST,274,2022,7058999,3.8815701773013425
AZ,2022,12,motor_vehicle_theft,standard,120,2022,7058999,1.6999577418837999
AZ,2022,13,burglary,DST,279,2022,7058999,3.952401749879834
AZ,2022,13,burglary,standard,95,2022,7058999,1.3457998789913415
AZ,2022,13,motor_vehicle_theft,DST,193,2022,7058999,2.7340987015297777
