state,hour,offense_type,crime_count,avg_population,crime_rate_per_100k
AZ,1,burglary,720,596544.3611111111,120.69513131579066
AZ,1,motor_vehicle_theft,732,596544.3611111111,122.7067168377205
AZ,2,burglary,702,596544.3611111111,117.67775303289588
AZ,2,motor_vehicle_theft,677,596544.3611111111,113.48694986220872
AZ,3,burglary,745,596544.3611111111,124.88593448647784
AZ,3,motor_vehicle_theft,617,596544.3611111111,103.42902225255949
AZ,4,burglary,640,596544.3611111111,107.2845611695917
AZ,4,motor_vehicle_theft,553,596544.3611111111,92.70056613560033
AZ,5,burglary,698,596544.3611111111,117.00722452558595
AZ,5,motor_vehicle_theft,568,596544.3611111111,95.21504803801264
AZ,6,burglary,820,596544.3611111111,137.45834399853936
AZ,6,motor_vehicle_theft,759,596544.3611111111,127.23278426206265
AZ,7,burglary,1009,596544.3611111111,169.14081596893442
AZ,7,motor_vehicle_theft,947,596544.3611111111,158.7476241056302
AZ,8,burglary,1456,596544.3611111111,244.0723766608211
AZ,8,motor_vehicle_theft,1143,596544.3611111111,191.6035209638177
AZ,9,burglary,1306,596544.3611111111,218.92755763669808
AZ,9,motor_vehicle_theft,1051,596544.3611111111,176.18136529568886
AZ,10,burglary,1255,596544.3611111111,210.37831916849623
AZ,10,motor_vehicle_theft,987,596544.3611111111,165.4529091787297
AZ,11,burglary,1209,596544.3611111111,202.66724133443182
AZ,11,motor_vehicle_theft,947,596544.3611111111,158.7476241056302
AZ,12,burglary,1621,596544.3611111111,271.73167758735644
AZ,12,motor_vehicle_theft,1265,596544.3611111111,212.05464043677108
AZ,13,burglary,1199,596544.3611111111,200.99092006615697
AZ,13,motor_vehicle_theft,990,596544.3611111111,165.95580555921217
AZ,14,burglary,1327,596544.3611111111,222.44783230007528
AZ,14,motor_vehicle_theft,1138,596544.3611111111,190.76536032968022
AZ,15,burglary,1524,596544.3611111111,255.4713612850902
AZ,15,motor_vehicle_theft,1117,596544.3611111111,187.245085666303
AZ,16,burglary,1472,596544.3611111111,246.75449069006092
AZ,16,motor_vehicle_theft,1233,596544.3611111111,206.69041237829148
AZ,17,burglary,1559,596544.3611111111,261.3384857240523
AZ,17,motor_vehicle_theft,1400,596544.3611111111,234.68497755848185
AZ,18,burglary,1324,596544.3611111111,221.94493591959284
AZ,18,motor_vehicle_theft,1448,596544.3611111111,242.7313196462012
AZ,19,burglary,1028,596544.3611111111,172.32582637865667
AZ,19,motor_vehicle_theft,1325,596544.3611111111,222.11256804642034
AZ,20,burglary,1005,596544.3611111111,168.47028746162445
AZ,20,motor_vehicle_theft,1385,596544.3611111111,232.1704956560695
AZ,21,burglary,887,596544.3611111111,148.689696495981
AZ,21,motor_vehicle_theft,1518,596544.3611111111,254.4655685241253
AZ,22,burglary,772,596544.3611111111,129.41200191081998
AZ,22,motor_vehicle_theft,1385,596544.3611111111,232.1704956560695
AZ,23,burglary,703,596544.3611111111,117.84538515972338
AZ,23,motor_vehicle_theft,1014,596544.3611111111,169.97897660307183
CA,1,burglary,7408,676852.7011494252,1094.4774228454432
CA,1,motor_vehicle_theft,7242,676852.7011494252,1069.9521458216389
CA,2,burglary,8940,676852.7011494252,1320.8191361012775
CA,2,motor_vehicle_theft,6776,676852.7011494252,1001.1040789957781
CA,3,burglary,10477,676852.7011494252,1547.8995625204793
CA,3,motor_vehicle_theft,6494,676852.7011494252,959.4406565818452
CA,4,burglary,10248,676852.7011494252,1514.066499638243
CA,4,motor_vehicle_theft,6480,676852.7011494252,957.3722597244158
CA,5,burglary,8002,676852.7011494252,1182.2365466535148
CA,5,motor_vehicle_theft,6935,676852.7011494252,1024.595157590868
CA,6,burglary,6264,676852.7011494252,925.4598510669354
CA,6,motor_vehicle_theft,7735,676852.7011494252,1142.7892637296848
CA,7,burglary,6091,676852.7011494252,899.9003756144164
