state,year,hour,offense_type,crime_count,data_year,population,crime_rate_per_100k
AZ,2022,1,burglary,231,2022,7058999,3.272418653126315
AZ,2022,1,motor_vehicle_theft,212,2022,7058999,3.003258677328046
AZ,2022,2,burglary,223,2022,7058999,3.1590881370007278
AZ,2022,2,motor_vehicle_theft,163,2022,7058999,2.3091092660588277
AZ,2022,3,burglary,242,2022,7058999,3.4282481127989963
AZ,2022,3,motor_vehicle_theft,149,2022,7058999,2.110780862839051
AZ,2022,4,burglary,194,2022,7058999,2.7482650160454765
AZ,2022,4,motor_vehicle_theft,166,2022,7058999,2.351608209605923
AZ,2022,5,burglary,209,2022,7058999,2.960759733780951
AZ,2022,5,motor_vehicle_theft,167,2022,7058999,2.3657745241216213
AZ,2022,6,burglary,280,2022,7058999,3.966568064395533
AZ,2022,6,motor_vehicle_theft,198,2022,7058999,2.804930274108269
AZ,2022,7,burglary,361,2022,7058999,5.114039540167098
AZ,2022,7,motor_vehicle_theft,269,2022,7058999,3.8107386047228506
AZ,2022,8,burglary,500,2022,7058999,7.083157257849166
AZ,2022,8,motor_vehicle_theft,350,2022,7058999,4.958210080494416
AZ,2022,9,burglary,453,2022,7058999,6.417340475611344
AZ,2022,9,motor_vehicle_theft,301,2022,7058999,4.264060669225198
AZ,2022,10,burglary,433,2022,7058999,6.134014185297378
AZ,2022,10,motor_vehicle_theft,290,2022,7058999,4.108231209552516
AZ,2022,11,burglary,407,2022,7058999,5.765690007889221
AZ,2022,11,motor_vehicle_theft,263,2022,7058999,3.725740717628661
AZ,2022,12,burglary,528,2022,7058999,7.4798140642887185
AZ,2022,12,motor_vehicle_theft,394,2022,7058999,5.581527919185142
AZ,2022,13,burglary,374,2022,7058999,5.298201628871175
AZ,2022,13,motor_vehicle_theft,287,2022,7058999,4.065732266005421
AZ,2022,14,burglary,426,2022,7058999,6.034849983687489
AZ,2022,14,motor_vehicle_theft,336,2022,7058999,4.759881677274639
AZ,2022,15,burglary,504,2022,7058999,7.139822515911959
AZ,2022,15,motor_vehicle_theft,291,2022,7058999,4.122397524068214
AZ,2022,16,burglary,477,2022,7058999,6.757332023988104
AZ,2022,16,motor_vehicle_theft,337,2022,7058999,4.774047991790337
AZ,2022,17,burglary,542,2022,7058999,7.678142467508495
AZ,2022,17,motor_vehicle_theft,393,2022,7058999,5.567361604669443
AZ,2022,18,burglary,480,2022,7058999,6.7998309675351996
AZ,2022,18,motor_vehicle_theft,415,2022,7058999,5.879020524014807
AZ,2022,19,burglary,351,2022,7058999,4.972376395010114
AZ,2022,19,motor_vehicle_theft,378,2022,7058999,5.354866886933969
AZ,2022,20,burglary,333,2022,7058999,4.717382733727544
AZ,2022,20,motor_vehicle_theft,327,2022,7058999,4.632384846633354
AZ,2022,21,burglary,325,2022,7058999,4.604052217601957
AZ,2022,21,motor_vehicle_theft,385,2022,7058999,5.454031088543857
AZ,2022,22,burglary,264,2022,7058999,3.7399070321443593
AZ,2022,22,motor_vehicle_theft,352,2022,7058999,4.986542709525812
AZ,2022,23,burglary,238,2022,7058999,3.3715828547362023
AZ,2022,23,motor_vehicle_theft,252,2022,7058999,3.5699112579559795
AZ,2023,1,burglary,207,2023,7153691,2.8936111442330956
AZ,2023,1,motor_vehicle_theft,258,2023,7153691,3.606529831942699
AZ,2023,2,burglary,199,2023,7153691,2.781780761847276
AZ,2023,2,motor_vehicle_theft,230,2023,7153691,3.2151234935923285
AZ,2023,3,burglary,225,2023,7153691,3.145229504601191
AZ,2023,3,motor_vehicle_theft,195,2023,7153691,2.7258655706543657
AZ,2023,4,burglary,194,2023,7153691,2.711886772856138
AZ,2023,4,motor_vehicle_theft,166,2023,7153691,2.3204804345057677
AZ,2023,5,burglary,215,2023,7153691,3.005441526618916
AZ,2023,5,motor_vehicle_theft,185,2023,7153691,2.5860775926720905
AZ,2023,6,burglary,253,2023,7153691,3.5366358429515614
AZ,2023,6,motor_vehicle_theft,255,2023,7153691,3.5645934385480165
AZ,2023,7,burglary,315,2023,7153691,4.403321306441668
AZ,2023,7,motor_vehicle_theft,319,2023,7153691,4.459236497634578
AZ,2023,8,burglary,478,2023,7153691,6.681865347552752
AZ,2023,8,motor_vehicle_theft,369,2023,7153691,5.158176387545954
AZ,2023,9,burglary,416,2023,7153691,5.815179884062647
AZ,2023,9,motor_vehicle_theft,320,2023,7153691,4.473215295432805
AZ,2023,10,burglary,388,2023,7153691,5.423773545712276
AZ,2023,10,motor_vehicle_theft,331,2023,7153691,4.626982071213308
AZ,2023,11,burglary,391,2023,7153691,5.465709939106959
AZ,2023,11,motor_vehicle_theft,324,2023,7153691,4.529130486625715
AZ,2023,12,burglary,538,2023,7153691,7.520593215446403
AZ,2023,12,motor_vehicle_theft,398,2023,7153691,5.563561523694552
AZ,2023,13,burglary,406,2023,7153691,5.675391906080372
AZ,2023,13,motor_vehicle_theft,346,2023,7153691,4.836664038186721
AZ,2023,14,burglary,455,2023,7153691,6.3603529981935205
AZ,2023,14,motor_vehicle_theft,385,2023,7153691,5.381837152317594
AZ,2023,15,burglary,502,2023,7153691,7.017356494710213
AZ,2023,15,motor_vehicle_theft,372,2023,7153691,5.2001127809406364
AZ,2023,16,burglary,477,2023,7153691,6.667886549754526
AZ,2023,16,motor_vehicle_theft,411,2023,7153691,5.745285895071509
AZ,2023,17,burglary,495,2023,7153691,6.919504910122621
AZ,2023,17,motor_vehicle_theft,457,2023,7153691,6.388310593789975
AZ,2023,18,burglary,434,2023,7153691,6.066798244430742
AZ,2023,18,motor_vehicle_theft,476,2023,7153691,6.6539077519562975
AZ,2023,19,burglary,308,2023,7153691,4.305469721854076
AZ,2023,19,motor_vehicle_theft,427,2023,7153691,5.968946659843149
AZ,2023,20,burglary,330,2023,7153691,4.613003273415081
AZ,2023,20,motor_vehicle_theft,482,2023,7153691,6.737780538745662
AZ,2023,21,burglary,295,2023,7153691,4.123745350477118
AZ,2023,21,motor_vehicle_theft,497,2023,7153691,6.947462505719076
AZ,2023,22,burglary,258,2023,7153691,3.606529831942699
AZ,2023,22,motor_vehicle_theft,463,2023,7153691,6.472183380579341
AZ,2023,23,burglary,212,2023,7153691,2.9635051332242335
AZ,2023,23,motor_vehicle_theft,331,2023,7153691,4.626982071213308
AZ,2024,1,burglary,282,2024,7262907,3.882742819094338
AZ,2024,1,motor_vehicle_theft,262,2024,7262907,3.607370987952896
AZ,2024,2,burglary,280,2024,7262907,3.8552056359801936
AZ,2024,2,motor_vehicle_theft,284,2024,7262907,3.910280002208482
AZ,2024,3,burglary,278,2024,7262907,3.827668452866049
AZ,2024,3,motor_vehicle_theft,273,2024,7262907,3.7588254950806887
AZ,2024,4,burglary,252,2024,7262907,3.4696850723821746
AZ,2024,4,motor_vehicle_theft,221,2024,7262907,3.0428587341129387
AZ,2024,5,burglary,274,2024,7262907,3.7725940866377607
AZ,2024,5,motor_vehicle_theft,216,2024,7262907,2.9740157763275783
AZ,2024,6,burglary,287,2024,7262907,3.951585776879699
AZ,2024,6,motor_vehicle_theft,306,2024,7262907,4.213189016464069
AZ,2024,7,burglary,333,2024,7262907,4.584940988505016
AZ,2024,7,motor_vehicle_theft,359,2024,7262907,4.942924368988891
AZ,2024,8,burglary,478,2024,7262907,6.581386764280473
AZ,2024,8,motor_vehicle_theft,424,2024,7262907,5.837882820198579
AZ,2024,9,burglary,437,2024,7262907,6.016874510440517
AZ,2024,9,motor_vehicle_theft,430,2024,7262907,5.920494369541012
AZ,2024,10,burglary,434,2024,7262907,5.9755687357693
AZ,2024,10,motor_vehicle_theft,366,2024,7262907,5.039304509888396
AZ,2024,11,burglary,411,2024,7262907,5.658891129956642
AZ,2024,11,motor_vehicle_theft,360,2024,7262907,4.956692960545963
AZ,2024,12,burglary,555,2024,7262907,7.641568314175026
AZ,2024,12,motor_vehicle_theft,473,2024,7262907,6.512543806495113
AZ,2024,13,burglary,419,2024,7262907,5.769039862413218
AZ,2024,13,motor_vehicle_theft,357,2024,7262907,4.9153871858747475
AZ,2024,14,burglary,446,2024,7262907,6.140791834454165
AZ,2024,14,motor_vehicle_theft,417,2024,7262907,5.741502679299074
AZ,2024,15,burglary,518,2024,7262907,7.132130426563358
AZ,2024,15,motor_vehicle_theft,454,2024,7262907,6.250940566910743
AZ,2024,16,burglary,518,2024,7262907,7.132130426563358
AZ,2024,16,motor_vehicle_theft,485,2024,7262907,6.677766905179977
AZ,2024,17,burglary,522,2024,7262907,7.187204792791647
AZ,2024,17,motor_vehicle_theft,550,2024,7262907,7.572725356389666
AZ,2024,18,burglary,410,2024,7262907,5.645122538399569
AZ,2024,18,motor_vehicle_theft,557,2024,7262907,7.669105497289171
AZ,2024,19,burglary,369,2024,7262907,5.080610284559612
AZ,2024,19,motor_vehicle_theft,520,2024,7262907,7.159667609677502
AZ,2024,20,burglary,342,2024,7262907,4.708858312518665
AZ,2024,20,motor_vehicle_theft,576,2024,7262907,7.930708736873541
AZ,2024,21,burglary,267,2024,7262907,3.6762139457382563
AZ,2024,21,motor_vehicle_theft,636,2024,7262907,8.756824230297868
AZ,2024,22,burglary,250,2024,7262907,3.44214788926803
AZ,2024,22,motor_vehicle_theft,570,2024,7262907,7.848097187531108
AZ,2024,23,burglary,253,2024,7262907,3.483453663939246
AZ,2024,23,motor_vehicle_theft,431,2024,7262907,5.934262961098084
CA,2022,1,burglary,1962,2022,39142414,5.012465506087591
CA,2022,1,motor_vehicle_theft,1635,2022,39142414,4.1770545884063255
CA,2022,2,burglary,2323,2022,39142414,5.9347387210201195
CA,2022,2,motor_vehicle_theft,1466,2022,39142414,3.745297875598577
CA,2022,3,burglary,2572,2022,39142414,6.570877309713193
CA,2022,3,motor_vehicle_theft,1471,2022,39142414,3.75807174284141
CA,2022,4,burglary,2491,2022,39142414,6.363940660379301
CA,2022,4,motor_vehicle_theft,1525,2022,39142414,3.896029509064004
CA,2022,5,burglary,2102,2022,39142414,5.37013378888691
CA,2022,5,motor_vehicle_theft,1763,2022,39142414,4.504065589822845
CA,2022,6,burglary,1707,2022,39142414,4.360998276703119
CA,2022,6,motor_vehicle_theft,2111,2022,39142414,5.393126749924008
CA,2022,7,burglary,1624,2022,39142414,4.148952080472093
CA,2022,7,motor_vehicle_theft,2314,2022,39142414,5.911745759983019
CA,2022,8,burglary,2056,2022,39142414,5.2526142102528475
CA,2022,8,motor_vehicle_theft,2942,2022,39142414,7.51614348568282
CA,2022,9,burglary,1820,2022,39142414,4.64968767639114
CA,2022,9,motor_vehicle_theft,2508,2022,39142414,6.407371809004933
CA,2022,10,burglary,1887,2022,39142414,4.820857497445099
CA,2022,10,motor_vehicle_theft,2576,2022,39142414,6.581096403507458
CA,2022,11,burglary,1719,2022,39142414,4.391655558085917
CA,2022,11,motor_vehicle_theft,2321,2022,39142414,5.929629174122986
