state,year,month,crime_type,avg_daily_count,data_year,population,avg_daily_rate_per_100k
AZ,2022,1,burglary,4.074257425742574,2022,7058999,0.05771721211098874
AZ,2022,1,motor_vehicle_theft,3.5988372093023258,2022,7058999,0.050982259797774813
AZ,2022,2,burglary,3.6984126984126986,2022,7058999,0.05239287749456684
AZ,2022,2,motor_vehicle_theft,3.58125,2022,7058999,0.05073311385934464
AZ,2022,3,burglary,4.033816425120773,2022,7058999,0.05714431217685076
AZ,2022,3,motor_vehicle_theft,3.5714285714285716,2022,7058999,0.05059398041320832
AZ,2022,4,burglary,4.056410256410256,2022,7058999,0.0574643834970122
AZ,2022,4,motor_vehicle_theft,3.5063291139240507,2022,7058999,0.04967176102339795
AZ,2022,5,burglary,4.121359223300971,2022,7058999,0.05838447098945573
AZ,2022,5,motor_vehicle_theft,3.4885057471264367,2022,7058999,0.04941926960361429
AZ,2022,6,burglary,3.6894736842105265,2022,7058999,0.05226624460791857
AZ,2022,6,motor_vehicle_theft,3.493827160493827,2022,7058999,0.049494654419044784
AZ,2022,7,burglary,4.194174757281553,2022,7058999,0.0594159987454532
AZ,2022,7,motor_vehicle_theft,3.9069767441860463,2022,7058999,0.05534746136365859
AZ,2022,8,burglary,3.8651162790697673,2022,7058999,0.05475445284904796
AZ,2022,8,motor_vehicle_theft,3.892857142857143,2022,7058999,0.05514743865039707
AZ,2022,9,burglary,4.1798941798941796,2022,7058999,0.05921369559471788
AZ,2022,9,motor_vehicle_theft,3.588957055214724,2022,7058999,0.050842294427506284
AZ,2022,10,burglary,4.320855614973262,2022,7058999,0.06121059961863236
AZ,2022,10,motor_vehicle_theft,3.9753086419753085,2022,7058999,0.05631547251919584
AZ,2022,11,burglary,3.5678391959798996,2022,7058999,0.05054313219168751
AZ,2022,11,motor_vehicle_theft,4.093959731543624,2022,7058999,0.05799632117165088
AZ,2022,12,burglary,3.893048128342246,2022,7058999,0.05515014421084698
AZ,2022,12,motor_vehicle_theft,4.048484848484849,2022,7058999,0.05735210967567567
AZ,2023,1,burglary,3.7635467980295565,2023,7153691,0.05260985969382179
AZ,2023,1,motor_vehicle_theft,3.791907514450867,2023,7153691,0.053006308414088155
AZ,2023,2,burglary,3.8222222222222224,2023,7153691,0.05343007158433629
AZ,2023,2,motor_vehicle_theft,4.32824427480916,2023,7153691,0.060503651538893144
AZ,2023,3,burglary,3.8624338624338623,2023,7153691,0.05399218197198988
AZ,2023,3,motor_vehicle_theft,3.8193548387096774,2023,7153691,0.05338998901000445
AZ,2023,4,burglary,3.723076923076923,2023,7153691,0.05204413949493938
AZ,2023,4,motor_vehicle_theft,3.6588235294117646,2023,7153691,0.0511459542970442
AZ,2023,5,burglary,4.015873015873016,2023,7153691,0.056137076872247005
AZ,2023,5,motor_vehicle_theft,4.207100591715976,2023,7153691,0.05881020848840097
AZ,2023,6,burglary,4.106598984771574,2023,7153691,0.05740531684652823
AZ,2023,6,motor_vehicle_theft,4.654761904761905,2023,7153691,0.06506797546555904
AZ,2023,7,burglary,4.010869565217392,2023,7153691,0.05606713464723863
AZ,2023,7,motor_vehicle_theft,4.571428571428571,2023,7153691,0.06390307564904008
AZ,2023,8,burglary,3.7819148936170213,2023,7153691,0.052866623587977474
AZ,2023,8,motor_vehicle_theft,4.66060606060606,2023,7153691,0.06514966973840582
AZ,2023,9,burglary,3.838709677419355,2023,7153691,0.053660546386744334
AZ,2023,9,motor_vehicle_theft,4.4226190476190474,2023,7153691,0.06182289740525621
AZ,2023,10,burglary,3.795698924731183,2023,7153691,0.05305930777176681
AZ,2023,10,motor_vehicle_theft,5.265060240963855,2023,7153691,0.07359921250392078
AZ,2023,11,burglary,3.4640883977900554,2023,7153691,0.04842379126789312
AZ,2023,11,motor_vehicle_theft,4.5886075949367084,2023,7153691,0.06414321774503132
AZ,2023,12,burglary,3.6610169491525424,2023,7153691,0.051176615668087184
AZ,2023,12,motor_vehicle_theft,4.713375796178344,2023,7153691,0.06588732720183671
AZ,2024,1,burglary,4.644808743169399,2024,7262907,0.06395247444541696
AZ,2024,1,motor_vehicle_theft,5.846666666666667,2024,7262907,0.08050036530368167
AZ,2024,2,burglary,4.827160493827161,2024,7262907,0.06646320121994073
AZ,2024,2,motor_vehicle_theft,5.366013071895424,2024,7262907,0.07388244227683796
AZ,2024,3,burglary,4.614130434782608,2024,7262907,0.06353007734757733
AZ,2024,3,motor_vehicle_theft,4.97093023255814,2024,7262907,0.06844270803079455
AZ,2024,4,burglary,4.511627906976744,2024,7262907,0.06211876190865097
AZ,2024,4,motor_vehicle_theft,5.679245283018868,2024,7262907,0.07819520865431524
AZ,2024,5,burglary,4.455497382198953,2024,7262907,0.06134592363910143
AZ,2024,5,motor_vehicle_theft,5.035294117647059,2024,7262907,0.06932890807561021
AZ,2024,6,burglary,4.817647058823529,2024,7262907,0.06633221461907098
AZ,2024,6,motor_vehicle_theft,5.101190476190476,2024,7262907,0.07023620812149291
AZ,2024,7,burglary,4.535911602209945,2024,7262907,0.062453114189813315
AZ,2024,7,motor_vehicle_theft,5.322222222222222,2024,7262907,0.0732795039537505
AZ,2024,8,burglary,4.338983050847458,2024,7262907,0.05974168540017733
AZ,2024,8,motor_vehicle_theft,6.357615894039735,2024,7262907,0.08753541652178301
AZ,2024,9,burglary,4.331460674157303,2024,7262907,0.05963811286799216
AZ,2024,9,motor_vehicle_theft,5.468531468531468,2024,7262907,0.07529397620720557
AZ,2024,10,burglary,3.789772727272727,2024,7262907,0.05217983277594945
AZ,2024,10,motor_vehicle_theft,5.119496855345912,2024,7262907,0.070488261178973
AZ,2024,11,burglary,3.994285714285714,2024,7262907,0.05499568856224807
AZ,2024,11,motor_vehicle_theft,5.5177304964539005,2024,7262907,0.07597137752767454
AZ,2024,12,burglary,3.6914285714285713,2024,7262907,0.050825772262106224
AZ,2024,12,motor_vehicle_theft,4.201219512195122,2024,7262907,0.0578448755050164
CA,2022,1,burglary,4.645118733509235,2022,39142414,0.01186722600580852
CA,2022,1,motor_vehicle_theft,5.22337962962963,2022,39142414,0.013344551589561212
CA,2022,2,burglary,4.497854077253219,2022,39142414,0.01149099817209337
CA,2022,2,motor_vehicle_theft,5.242666666666667,2022,39142414,0.01339382559968495
CA,2022,3,burglary,4.669301712779974,2022,39142414,0.01192900803915664
CA,2022,3,motor_vehicle_theft,5.002375296912114,2022,39142414,0.01277993558831633
CA,2022,4,burglary,4.498089171974522,2022,39142414,0.011491598785845252
CA,2022,4,motor_vehicle_theft,5.25492341356674,2022,39142414,0.01342513881123106
CA,2022,5,burglary,4.658479532163743,2022,39142414,0.011901359819462701
CA,2022,5,motor_vehicle_theft,5.127083333333333,2022,39142414,0.013098536368588133
CA,2022,6,burglary,4.69848661233993,2022,39142414,0.012003568845651496
CA,2022,6,motor_vehicle_theft,5.173404255319149,2022,39142414,0.013216875830190617
CA,2022,7,burglary,4.583150984682713,2022,39142414,0.01170891244643908
CA,2022,7,motor_vehicle_theft,5.2073778664007975,2022,39142414,0.01330367070973394
CA,2022,8,burglary,4.714132762312634,2022,39142414,0.01204354121417405
CA,2022,8,motor_vehicle_theft,5.635728542914172,2022,39142414,0.014398009644765834
CA,2022,9,burglary,5.279144385026738,2022,39142414,0.013487017906015551
CA,2022,9,motor_vehicle_theft,6.505795574288725,2022,39142414,0.01662083379499467
CA,2022,10,burglary,5.368477103301385,2022,39142414,0.013715242762751895
CA,2022,10,motor_vehicle_theft,6.969666329625885,2022,39142414,0.01780591848429656
CA,2022,11,burglary,5.606828193832599,2022,39142414,0.014324175800277925
CA,2022,11,motor_vehicle_theft,6.8249475890985325,2022,39142414,0.01743619488848729
CA,2022,12,burglary,5.32795156407669,2022,39142414,0.013611709191151802
CA,2022,12,motor_vehicle_theft,6.620654396728017,2022,39142414,0.016914272064896194
CA,2023,1,burglary,5.9884615384615385,2023,39198693,0.01527719696792324
CA,2023,1,motor_vehicle_theft,7.394736842105263,2023,39198693,0.018864753582741298
CA,2023,2,burglary,5.884875846501129,2023,39198693,0.015012938942890592
CA,2023,2,motor_vehicle_theft,6.939524838012959,2023,39198693,0.01770345975059158
CA,2023,3,burglary,6.155601659751038,2023,39198693,0.015703589045050655
CA,2023,3,motor_vehicle_theft,7.1942800788954635,2023,39198693,0.018353367238278743
CA,2023,4,burglary,6.258099352051836,2023,39198693,0.015965071468203893
CA,2023,4,motor_vehicle_theft,7.5810945273631845,2023,39198693,0.019340171692365318
CA,2023,5,burglary,6.096676737160121,2023,39198693,0.015553265352903783
CA,2023,5,motor_vehicle_theft,8.24368932038835,2023,39198693,0.021030520891062235
CA,2023,6,burglary,6.025303643724697,2023,39198693,0.01537118506406501
CA,2023,6,motor_vehicle_theft,8.663096397273613,2023,39198693,0.022100472577679088
CA,2023,7,burglary,6.100196463654224,2023,39198693,0.015562244546404199
CA,2023,7,motor_vehicle_theft,8.985046728971962,2023,39198693,0.022921801828882312
CA,2023,8,burglary,6.377572016460905,2023,39198693,0.016269858835499706
