state,year,month,crime_type,mean_daily_rate_per_100k
AZ,2022,1,burglary,0.9269863295057547
AZ,2022,1,motor_vehicle_theft,0.6596480541924833
AZ,2022,2,burglary,1.0410654503775447
AZ,2022,2,motor_vehicle_theft,0.7093719076997108
AZ,2022,3,burglary,0.9256449414204934
AZ,2022,3,motor_vehicle_theft,0.7288355945011289
AZ,2022,4,burglary,0.8060372396329446
AZ,2022,4,motor_vehicle_theft,0.5914796307500164
AZ,2022,5,burglary,0.9113202402469864
AZ,2022,5,motor_vehicle_theft,0.6980585311235659
AZ,2022,6,burglary,0.821501630103353
AZ,2022,6,motor_vehicle_theft,0.758776919144865
AZ,2022,7,burglary,0.8925539969993813
AZ,2022,7,motor_vehicle_theft,0.6597167684948889
AZ,2022,8,burglary,0.9303662002479681
AZ,2022,8,motor_vehicle_theft,0.639912949718683
AZ,2022,9,burglary,0.8546184003816484
AZ,2022,9,motor_vehicle_theft,0.6837435220638038
AZ,2022,10,burglary,0.8942386692836191
AZ,2022,10,motor_vehicle_theft,0.647400522283691
AZ,2022,11,burglary,0.848732603485461
AZ,2022,11,motor_vehicle_theft,0.7022112985472931
AZ,2022,12,burglary,0.8237073240687266
AZ,2022,12,motor_vehicle_theft,0.6423289110241004
AZ,2023,1,burglary,0.8761848380538797
AZ,2023,1,motor_vehicle_theft,0.7923920633268567
AZ,2023,2,burglary,0.8955630332835115
AZ,2023,2,motor_vehicle_theft,0.49333537381440556
AZ,2023,3,burglary,0.7642354305727778
AZ,2023,3,motor_vehicle_theft,0.7161297705871843
AZ,2023,4,burglary,0.8798460364918865
AZ,2023,4,motor_vehicle_theft,0.7524525427210803
AZ,2023,5,burglary,0.7405291013550257
AZ,2023,5,motor_vehicle_theft,0.6230459148175634
AZ,2023,6,burglary,0.9042931287708514
AZ,2023,6,motor_vehicle_theft,0.5810260997013772
AZ,2023,7,burglary,0.7276025698176367
AZ,2023,7,motor_vehicle_theft,0.5956560113388978
AZ,2023,8,burglary,0.8446068967106708
AZ,2023,8,motor_vehicle_theft,0.6769815966098591
AZ,2023,9,burglary,1.1086571591986671
AZ,2023,9,motor_vehicle_theft,0.972739536924989
AZ,2023,10,burglary,0.8906603017282092
AZ,2023,10,motor_vehicle_theft,0.6876320897018482
AZ,2023,11,burglary,0.8210763809449342
AZ,2023,11,motor_vehicle_theft,0.8214636128860403
AZ,2023,12,burglary,0.853950803163206
AZ,2023,12,motor_vehicle_theft,0.6395355702753883
AZ,2024,1,burglary,0.9083157331068377
AZ,2024,1,motor_vehicle_theft,0.7712841439648649
AZ,2024,2,burglary,0.9096601091368005
AZ,2024,2,motor_vehicle_theft,0.7655425467667375
AZ,2024,3,burglary,0.9742671275301954
AZ,2024,3,motor_vehicle_theft,0.8101738908745387
AZ,2024,4,burglary,0.6650794979961587
AZ,2024,4,motor_vehicle_theft,0.8667814149968519
AZ,2024,5,burglary,0.8495804066585125
AZ,2024,5,motor_vehicle_theft,0.6490607263184532
AZ,2024,6,burglary,0.8028695918490747
