state,year,county_name,incident_date,crime_type,incident_count
AZ,2022,COCHISE,2022-01-01,burglary,2
AZ,2022,COCHISE,2022-01-01,motor_vehicle_theft,2
AZ,2022,COCHISE,2022-01-02,burglary,1
AZ,2022,COCHISE,2022-01-06,motor_vehicle_theft,2
AZ,2022,COCHISE,2022-01-07,burglary,1
AZ,2022,COCHISE,2022-01-10,burglary,1
AZ,2022,COCHISE,2022-01-11,burglary,2
AZ,2022,COCHISE,2022-01-12,motor_vehicle_theft,1
AZ,2022,COCHISE,2022-01-15,burglary,1
AZ,2022,COCHISE,2022-01-18,burglary,4
AZ,2022,COCHISE,2022-01-18,motor_vehicle_theft,1
AZ,2022,COCHISE,2022-01-19,burglary,1
AZ,2022,COCHISE,2022-01-21,burglary,2
AZ,2022,COCHISE,2022-01-22,burglary,1
AZ,2022,COCHISE,2022-01-24,burglary,2
AZ,2022,COCHISE,2022-01-24,motor_vehicle_theft,1
AZ,2022,COCHISE,2022-01-26,burglary,1
AZ,2022,COCHISE,2022-01-26,motor_vehicle_theft,1
AZ,2022,COCHISE,2022-01-27,burglary,1
AZ,2022,COCHISE,2022-01-31,burglary,1
AZ,2022,COCHISE,2022-01-31,motor_vehicle_theft,1
AZ,2022,COCHISE,2022-02-01,burglary,3
AZ,2022,COCHISE,2022-02-02,burglary,1
AZ,2022,COCHISE,2022-02-02,motor_vehicle_theft,1
AZ,2022,COCHISE,2022-02-04,motor_vehicle_theft,1
AZ,2022,COCHISE,2022-02-05,burglary,2
AZ,2022,COCHISE,2022-02-05,motor_vehicle_theft,2
AZ,2022,COCHISE,2022-02-06,burglary,2
AZ,2022,COCHISE,2022-02-07,motor_vehicle_theft,1
AZ,2022,COCHISE,2022-02-08,burglary,2
AZ,2022,COCHISE,2022-02-09,burglary,2
AZ,2022,COCHISE,2022-02-10,burglary,2
AZ,2022,COCHISE,2022-02-10,motor_vehicle_theft,1
AZ,2022,COCHISE,2022-02-16,burglary,1
AZ,2022,COCHISE,2022-02-17,burglary,2
AZ,2022,COCHISE,2022-02-19,burglary,2
AZ,2022,COCHISE,2022-02-19,motor_vehicle_theft,1
