state,data_year,county_fips,county_name,population,proposal_excluded_az_county
AZ,2020,04001,APACHE,65917,True
AZ,2020,04003,COCHISE,125533,False
AZ,2020,04005,COCONINO,145190,True
AZ,2020,04007,GILA,53355,False
AZ,2020,04009,GRAHAM,38630,False
AZ,2020,04011,GREENLEE,9531,False
AZ,2020,04012,LA PAZ,16573,False
AZ,2020,04013,MARICOPA,4445415,False
AZ,2020,04015,MOHAVE,214173,False
AZ,2020,04017,NAVAJO,106773,True
AZ,2020,04019,PIMA,1045227,False
AZ,2020,04021,PINAL,430213,False
AZ,2020,04023,SANTA CRUZ,47712,False
AZ,2020,04025,YAVAPAI,237228,False
AZ,2020,04027,YUMA,205665,False
CA,2020,06001,ALAMEDA,1680614,False
CA,2020,06003,ALPINE,1179,False
CA,2020,06005,AMADOR,40584,False
CA,2020,06007,BUTTE,210222,False
CA,2020,06009,CALAVERAS,45350,False
CA,2020,06011,COLUSA,21868,False
CA,2020,06013,CONTRA COSTA,1166165,False
CA,2020,06015,DEL NORTE,27616,False
CA,2020,06017,EL DORADO,191250,False
CA,2020,06019,FRESNO,1009613,False
CA,2020,06021,GLENN,28889,False
CA,2020,06023,HUMBOLDT,136324,False
CA,2020,06025,IMPERIAL,179730,False
CA,2020,06027,INYO,18999,False
CA,2020,06029,KERN,906124,False
CA,2020,06031,KINGS,152797,False
CA,2020,06033,LAKE,68200,False
CA,2020,06035,LASSEN,32319,False
CA,2020,06037,LOS ANGELES,9996634,False
CA,2020,06039,MADERA,156434,False
CA,2020,06041,MARIN,261341,False
CA,2020,06043,MARIPOSA,17133,False
CA,2020,06045,MENDOCINO,91362,False
CA,2020,06047,MERCED,282963,False
CA,2020,06049,MODOC,8677,False
CA,2020,06051,MONO,13225,False
CA,2020,06053,MONTEREY,440506,False
CA,2020,06055,NAPA,137465,False
CA,2020,06057,NEVADA,102267,False
CA,2020,06059,ORANGE,3186261,False
CA,2020,06061,PLACER,405951,False
CA,2020,06063,PLUMAS,19761,False
CA,2020,06065,RIVERSIDE,2424663,False
CA,2020,06067,SACRAMENTO,1586727,False
CA,2020,06069,SAN BENITO,64533,False
CA,2020,06071,SAN BERNARDINO,2183526,False
CA,2020,06073,SAN DIEGO,3301182,False
CA,2020,06075,SAN FRANCISCO,874826,False
CA,2020,06077,SAN JOAQUIN,780676,False
CA,2020,06079,SAN LUIS OBISPO,281924,False
CA,2020,06081,SAN MATEO,762727,False
