state,data_year,county_fips,county_name,median_household_income,poverty_rate,unemployment_rate,bachelors_plus_rate
AZ,2021,04001,Apache County,34788,0.338991114316846,0.08283582089552238,0.12827534110759642
AZ,2021,04003,Cochise County,55077,0.14236292758661423,0.06612072174441158,0.25812317721736144
AZ,2021,04005,Coconino County,61888,0.17568602473404457,0.0724691106930391,0.38739877955405
AZ,2021,04007,Gila County,51406,0.19813926721657396,0.06830275229357798,0.18787539448233737
AZ,2021,04009,Graham County,57105,0.1996892444035219,0.05598098758912068,0.1467603759461033
AZ,2021,04011,Greenlee County,67723,0.11572950733199705,0.0344441959293223,0.16001388406803194
AZ,2021,04012,La Paz County,39732,0.2015879750287896,0.07170795306388526,0.11819147322105902
AZ,2021,04013,Maricopa County,72944,0.12044164248709714,0.047484303519248955,0.3435641481651464
AZ,2021,04015,Mohave County,49738,0.1599859454568208,0.06885938511510636,0.14627001332686437
AZ,2021,04017,Navajo County,46126,0.25527607184520307,0.09495393135055138,0.16664752992507967
AZ,2021,04019,Pima County,59215,0.15123174322089586,0.059001142641332015,0.3437453524155999
AZ,2021,04021,Pinal County,65488,0.11395581192257649,0.059733835310598435,0.20892033199552243
AZ,2021,04023,Santa Cruz County,45089,0.2164223370900771,0.08978670678821135,0.23036131879714106
AZ,2021,04025,Yavapai County,56170,0.12462476875283605,0.05158960656753408,0.2777418373835393
AZ,2021,04027,Yuma County,52563,0.18326419464026672,0.07766467267482968,0.1568921646725806
CA,2021,06001,Alameda County,112017,0.08913764913670166,0.04805701771158141,0.49643049495628894
CA,2021,06003,Alpine County,96000,0.12946428571428573,0.08439490445859872,0.3931888544891641
CA,2021,06005,Amador County,69955,0.07904738468268942,0.06348197781885398,0.195177304964539
CA,2021,06007,Butte County,59863,0.17747997347043412,0.06702371843917368,0.2976007090253012
CA,2021,06009,Calaveras County,70119,0.14125136332272353,0.06374272073868108,0.19910732167892192
CA,2021,06011,Colusa County,61861,0.1300440120454019,0.05245870870870871,0.14653564768325922
CA,2021,06013,Contra Costa County,110455,0.08202152519443917,0.05516301211321473,0.44056172517452985
CA,2021,06015,Del Norte County,53280,0.17295115058538554,0.06979990693345742,0.16119372684362787
CA,2021,06017,El Dorado County,88770,0.08678022804027229,0.04477923161132252,0.3683414130403603
CA,2021,06019,Fresno County,61276,0.2017951057888203,0.08076498697924546,0.22632940249541475
CA,2021,06021,Glenn County,56332,0.1505922165820643,0.0659058487874465,0.14895594183885427
CA,2021,06023,Humboldt County,53350,0.20261071634051392,0.08566787351495712,0.31192240046900815
CA,2021,06025,Imperial County,49078,0.2104001084081094,0.12235211959754805,0.1519765659716869
CA,2021,06027,Inyo County,60925,0.10797459421312633,0.041383095499451156,0.27273388622144623
CA,2021,06029,Kern County,58824,0.19351162402580627,0.08144018748002699,0.17607466278431777
CA,2021,06031,Kings County,63267,0.16365226899945326,0.0834828160965156,0.1432011797281957
CA,2021,06033,Lake County,53399,0.16847867062744093,0.09158154279675942,0.17517605633802816
CA,2021,06035,Lassen County,59292,0.13869721824415224,0.06452263332997278,0.11770751963162439
CA,2021,06037,Los Angeles County,76367,0.1385681368240496,0.06542433700290118,0.340443691553715
CA,2021,06039,Madera County,66709,0.19564482086805932,0.0946565096188347,0.16377709920566483
CA,2021,06041,Marin County,131008,0.06937315290091772,0.049010061668289515,0.6014893617021276
CA,2021,06043,Mariposa County,53304,0.13153714924407317,0.08840037418147802,0.2886849700288611
CA,2021,06045,Mendocino County,56378,0.1582625118035883,0.0780789883942491,0.24500007674479288
CA,2021,06047,Merced County,58861,0.19354211670988303,0.09980914054062051,0.14057088981693572
CA,2021,06049,Modoc County,51090,0.19599528857479387,0.0898876404494382,0.1969835466179159
CA,2021,06051,Mono County,71138,0.09979462995360158,0.02388300013417416,0.29525113193640096
CA,2021,06053,Monterey County,82013,0.12153151317254877,0.05201444452311832,0.2649006858593204
