county_name_raw,B19013_001E,B17001_001E,B17001_002E,B23025_003E,B23025_005E,B15003_001E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,state,county,data_year,state_fips,county_fips
"Apache County, Arizona",34788,65161,22089,19664,1776,42362,3265,1779,135,255,AZ,001,2021,04,04001
"Cochise County, Arizona",55077,118514,16872,47668,3375,87435,13908,6937,1015,709,AZ,003,2021,04,04003
"Coconino County, Arizona",61888,131883,23170,72967,5701,86198,19762,9492,1937,2202,AZ,005,2021,04,04005
"Gila County, Arizona",51406,52130,10329,20311,1489,39292,4613,2179,407,183,AZ,007,2021,04,04007
"Graham County, Arizona",57105,34754,6940,14300,848,24046,2399,965,110,55,AZ,009,2021,04,04009
"Greenlee County, Arizona",67723,9479,1097,4317,154,5762,750,115,51,6,AZ,011,2021,04,04011
"La Paz County, Arizona",39732,16499,3326,5696,440,13182,1022,473,40,23,AZ,012,2021,04,04012
"Maricopa County, Arizona",72944,4308734,518951,2236183,111477,2928408,631052,272368,62399,40277,AZ,013,2021,04,04013
"Mohave County, Arizona",49738,207762,33239,81986,6063,162829,14549,5717,2442,1109,AZ,015,2021,04,04015
"Navajo County, Arizona",46126,103723,26478,37916,3978,69674,6881,3502,727,501,AZ,017,2021,04,04017
"Pima County, Arizona",59215,1007434,152356,488353,30620,699288,137833,71418,15558,15568,AZ,019,2021,04,04019
"Pinal County, Arizona",65488,397347,45280,171828,10916,293016,40942,16072,2136,2067,AZ,021,2021,04,04021
"Santa Cruz County, Arizona",45089,47204,10216,20569,2029,30361,4257,2109,473,155,AZ,023,2021,04,04023
"Yavapai County, Arizona",56170,229192,28563,97967,5329,180855,29164,14639,3607,2821,AZ,025,2021,04,04025
"Yuma County, Arizona",52563,196465,36005,82181,6920,129299,12942,5588,1264,492,AZ,027,2021,04,04027
"Alameda County, California",112017,1646476,146763,921061,46498,1193863,337847,181206,36650,36967,CA,001,2021,06,06001
"Alpine County, California",96000,1344,174,575,53,969,200,84,56,41,CA,003,2021,06,06003
"Amador County, California",69955,36573,2891,16213,1099,31725,4317,1119,583,173,CA,005,2021,06,06005
"Butte County, California",59863,212593,37731,103649,7446,142167,27819,9170,3507,1813,CA,007,2021,06,06007
"Calaveras County, California",70119,44927,6346,17846,1215,34951,4876,1439,412,232,CA,009,2021,06,06009
"Colusa County, California",61861,21585,2807,10097,559,13942,1558,361,75,49,CA,011,2021,06,06011
"Contra Costa County, California",110455,1152417,94523,605752,35366,805020,218293,93424,25108,17836,CA,013,2021,06,06013
"Del Norte County, California",53280,24770,4284,9995,750,19703,2070,743,223,140,CA,015,2021,06,06015
"El Dorado County, California",88770,188914,16394,91620,4295,139444,34494,11238,3892,1739,CA,017,2021,06,06017
"Fresno County, California",61276,985123,198793,455708,40039,619376,93209,29946,12040,4988,CA,019,2021,06,06019
"Glenn County, California",56332,28368,4272,13096,924,18294,2226,353,74,72,CA,021,2021,06,06021
"Humboldt County, California",53350,133833,27116,66418,6223,93815,19376,6442,2137,1308,CA,023,2021,06,06023
"Imperial County, California",49078,169729,35711,67865,9461,110267,12239,3297,941,281,CA,025,2021,06,06025
"Inyo County, California",60925,18421,1989,8733,377,13746,2217,1163,155,214,CA,027,2021,06,06027
"Kern County, California",58824,874826,169289,388041,34404,552243,63839,24163,6185,3049,CA,029,2021,06,06029
"Kings County, California",63267,137175,22449,57736,5259,94259,9159,2945,883,511,CA,031,2021,06,06031
"Lake County, California",53399,66317,11173,28369,2860,48848,5747,1915,592,303,CA,033,2021,06,06033
"Lassen County, California",59292,23043,3196,9279,640,24323,2098,391,259,115,CA,035,2021,06,06035
"Los Angeles County, California",76367,9861892,1366544,5252747,367715,6922061,1530075,553854,175089,97554,CA,037,2021,06,06037
"Madera County, California",66709,147824,28921,65603,6859,98573,11366,3283,1005,490,CA,039,2021,06,06039
"Marin County, California",131008,257160,17840,137710,7097,192700,65270,30810,13508,6319,CA,041,2021,06,06041
"Mariposa County, California",53304,16999,2236,7796,756,13513,2624,957,192,128,CA,043,2021,06,06043
"Mendocino County, California",56378,90015,14246,42578,3606,65151,9612,4312,1367,671,CA,045,2021,06,06045
"Merced County, California",58861,272659,52771,121686,13492,165461,15979,5065,1388,827,CA,047,2021,06,06047
"Modoc County, California",51090,8490,1664,3321,328,6564,864,320,80,29,CA,049,2021,06,06049
"Mono County, California",71138,13147,1312,7275,178,9497,1833,452,446,73,CA,051,2021,06,06051
"Monterey County, California",82013,422014,51288,200826,11019,280524,44514,19979,5981,3837,CA,053,2021,06,06053
"Napa County, California",97498,135811,10394,73750,3603,98545,24141,7850,3171,1302,CA,055,2021,06,06055
"Nevada County, California",74617,100880,10567,48786,2042,78580,19385,7595,2182,1229,CA,057,2021,06,06057
"Orange County, California",100485,3145848,311294,1688370,91539,2197190,585008,233094,67813,39449,CA,059,2021,06,06059
"Placer County, California",99734,396956,27629,194122,8303,281849,76411,28359,9227,3254,CA,061,2021,06,06061
"Plumas County, California",57885,19293,2287,8457,697,15047,2233,958,161,112,CA,063,2021,06,06063
"Riverside County, California",76066,2369118,283249,1126392,81362,1572798,238066,95317,22386,14363,CA,065,2021,06,06065
"Sacramento County, California",76422,1550537,205590,784236,51448,1067929,221577,80182,27086,12860,CA,067,2021,06,06067
"San Benito County, California",95606,62921,4875,33330,2379,41203,6305,1503,383,269,CA,069,2021,06,06069
"San Bernardino County, California",70287,2117955,302798,1010279,75447,1377666,197308,77272,16492,10819,CA,071,2021,06,06071
"San Diego County, California",88240,3213232,344458,1683318,110391,2251321,552537,237251,64813,51854,CA,073,2021,06,06073
"San Francisco County, California",126187,852231,87874,540475,28573,688969,243795,110417,35420,20420,CA,075,2021,06,06075
"San Joaquin County, California",74962,753690,101951,353205,25714,488393,64170,21608,6014,3291,CA,077,2021,06,06077
"San Luis Obispo County, California",82514,267267,32077,137198,7059,190323,43001,17670,6143,3106,CA,079,2021,06,06079
"San Mateo County, California",136837,756587,46644,429101,19757,551707,162209,80466,22764,23962,CA,081,2021,06,06081
"Santa Barbara County, California",84356,426632,57269,224912,13803,277880,58791,24596,7239,7010,CA,083,2021,06,06083
"Santa Clara County, California",140258,1901844,126551,1054725,46957,1349372,375482,258731,39036,60701,CA,085,2021,06,06085
"Santa Cruz County, California",96093,260154,28396,145818,9311,179985,43339,21042,5697,5320,CA,087,2021,06,06087
"Shasta County, California",61937,178903,25365,80819,5274,128609,19506,6444,2379,712,CA,089,2021,06,06089
"Sierra County, California",56152,3052,249,1524,137,2307,259,140,116,0,CA,091,2021,06,06091
"Siskiyou County, California",49857,43752,7309,17968,1414,32223,4595,1630,465,243,CA,093,2021,06,06093
"Solano County, California",89648,440522,39020,225581,13430,312459,58967,19908,5418,2688,CA,095,2021,06,06095
"Sonoma County, California",91607,485874,42142,264810,13428,356445,82579,32790,11634,5342,CA,097,2021,06,06097
"Stanislaus County, California",68368,546308,74272,255842,21517,348982,42993,12737,4558,2301,CA,099,2021,06,06099
"Sutter County, California",67003,98017,12383,45099,3431,64872,8650,2961,913,447,CA,101,2021,06,06101
"Tehama County, California",52901,64517,11597,28316,2297,44894,5587,1452,507,81,CA,103,2021,06,06103
"Trinity County, California",42206,15620,3512,5745,332,12493,1443,566,76,239,CA,105,2021,06,06105
"Tulare County, California",57394,464801,91866,208562,21293,278465,28347,10735,2472,778,CA,107,2021,06,06107
"Tuolumne County, California",66846,51712,5119,23437,1896,42285,6817,2441,768,370,CA,109,2021,06,06109
"Ventura County, California",94150,832745,73740,434377,24236,574785,124047,48602,13872,9090,CA,111,2021,06,06111
"Yolo County, California",78386,209165,36036,107620,6017,127688,28159,14518,5726,6596,CA,113,2021,06,06113
"Yuba County, California",62666,78774,11939,32693,2136,50807,5955,2297,499,267,CA,115,2021,06,06115
"Churchill County, Nevada",61776,24461,2438,11072,723,17053,2209,618,339,57,NV,001,2021,32,32001
"Clark County, Nevada",64210,2205977,300063,1123127,87046,1531475,261517,94217,25563,13895,NV,003,2021,32,32003
"Douglas County, Nevada",75688,48814,3431,22385,840,38318,7604,3132,1055,396,NV,005,2021,32,32005
"Elko County, Nevada",82462,52536,6070,27701,1283,34485,3691,1534,281,122,NV,007,2021,32,32007
"Esmeralda County, Nevada",31667,981,131,410,20,874,106,61,0,0,NV,009,2021,32,32009
"Eureka County, Nevada",68307,1598,293,587,0,1012,88,24,0,0,NV,011,2021,32,32011
"Humboldt County, Nevada",70315,17016,2281,8665,400,11278,1641,445,72,49,NV,013,2021,32,32013
"Lander County, Nevada",92543,5686,622,2848,308,3860,152,79,54,31,NV,015,2021,32,32015
"Lincoln County, Nevada",62164,4056,227,1741,70,3353,297,212,0,0,NV,017,2021,32,32017
"Lyon County, Nevada",63952,57787,5555,27007,2178,41921,4657,1557,338,127,NV,019,2021,32,32019
"Mineral County, Nevada",43009,4484,878,1868,244,3278,356,84,11,0,NV,021,2021,32,32021
"Nye County, Nevada",52570,49280,7673,18085,1725,38974,3316,1190,246,195,NV,023,2021,32,32023
"Pershing County, Nevada",62841,4866,445,2422,289,5101,266,243,14,6,NV,027,2021,32,32027
"Storey County, Nevada",66713,4032,485,1485,79,3042,598,160,68,34,NV,029,2021,32,32029
"Washoe County, Nevada",74292,473453,51817,257098,12856,334033,66061,28578,7484,5910,NV,031,2021,32,32031
"White Pine County, Nevada",63590,7582,845,3688,139,6940,702,156,0,72,NV,033,2021,32,32033
"Carson City, Nevada",62217,55530,5560,28770,1312,41721,6442,2189,712,290,NV,510,2021,32,32510
"Beaver County, Utah",74569,6792,386,3044,156,4069,892,148,19,30,UT,001,2021,49,49001
"Box Elder County, Utah",67486,56522,3983,26744,711,33905,6081,1795,217,190,UT,003,2021,49,49003
"Cache County, Utah",65670,128586,17848,66562,1700,67191,16917,6409,1076,1816,UT,005,2021,49,49005
"Carbon County, Utah",51725,19895,3235,8837,599,13117,1396,576,119,96,UT,007,2021,49,49007
"Daggett County, Utah",49792,515,31,193,4,353,48,17,0,3,UT,009,2021,49,49009
"Davis County, Utah",92765,356055,19597,179276,4377,211179,53893,20766,3591,2097,UT,011,2021,49,49011
"Duchesne County, Utah",66463,19309,2554,8251,435,11589,1214,379,58,32,UT,013,2021,49,49013
"Emery County, Utah",61234,9739,1222,4032,170,6207,578,295,62,4,UT,015,2021,49,49015
"Garfield County, Utah",45724,4870,761,2277,111,3526,596,228,51,12,UT,017,2021,49,49017
"Grand County, Utah",51433,9563,1419,5547,67,7053,1153,426,308,9,UT,019,2021,49,49019
"Iron County, Utah",56308,55261,8477,26350,1098,31347,6266,1906,469,515,UT,021,2021,49,49021
"Juab County, Utah",74741,11518,1298,5352,126,6550,864,401,68,47,UT,023,2021,49,49023
"Kane County, Utah",56395,7397,924,3615,126,5599,1159,397,70,61,UT,025,2021,49,49025
"Millard County, Utah",66304,12707,1601,5690,177,7821,1456,332,22,29,UT,027,2021,49,49027
"Morgan County, Utah",112721,12154,219,5348,69,6795,1711,783,103,98,UT,029,2021,49,49029
"Piute County, Utah",33611,1782,354,658,37,1259,189,63,0,3,UT,031,2021,49,49031
"Rich County, Utah",67396,2502,177,943,29,1486,256,54,30,7,UT,033,2021,49,49033
"Salt Lake County, Utah",82206,1158163,97183,642365,24804,746749,178208,70377,17290,11362,UT,035,2021,49,49035
"San Juan County, Utah",52400,14287,3033,5987,664,8833,1188,452,136,41,UT,037,2021,49,49037
"Sanpete County, Utah",60186,25749,3406,12252,473,17140,2461,1117,119,240,UT,039,2021,49,49039
"Sevier County, Utah",60262,21138,2577,9657,523,13534,1990,765,99,96,UT,041,2021,49,49041
