date,temperature_2m_mean,temperature_2m_min,temperature_2m_max,precipitation_sum,state,county_fips,county_name,timezone,proposal_excluded_az_county
2021-01-01,-1.4,-4.0,2.8,0.0,AZ,04001,APACHE,America/Phoenix,True
2021-01-02,0.1,-6.2,7.9,0.0,AZ,04001,APACHE,America/Phoenix,True
2021-01-03,1.2,-4.7,8.4,0.0,AZ,04001,APACHE,America/Phoenix,True
2021-01-04,3.2,-3.8,10.4,0.0,AZ,04001,APACHE,America/Phoenix,True
2021-01-05,3.9,-1.6,9.5,0.0,AZ,04001,APACHE,America/Phoenix,True
2021-01-06,-0.2,-5.4,6.6,0.0,AZ,04001,APACHE,America/Phoenix,True
2021-01-07,2.2,-4.6,9.1,0.0,AZ,04001,APACHE,America/Phoenix,True
2021-01-08,2.6,-3.3,8.7,0.0,AZ,04001,APACHE,America/Phoenix,True
2021-01-09,1.1,-3.3,5.8,0.0,AZ,04001,APACHE,America/Phoenix,True
2021-01-10,-1.4,-5.8,4.7,0.0,AZ,04001,APACHE,America/Phoenix,True
2021-01-11,-1.4,-7.4,4.4,0.0,AZ,04001,APACHE,America/Phoenix,True
2021-01-12,-1.9,-8.9,4.2,0.0,AZ,04001,APACHE,America/Phoenix,True
2021-01-13,0.7,-5.8,8.0,0.0,AZ,04001,APACHE,America/Phoenix,True
2021-01-14,3.6,-2.4,10.4,0.0,AZ,04001,APACHE,America/Phoenix,True
2021-01-15,2.9,-3.2,9.1,0.0,AZ,04001,APACHE,America/Phoenix,True
2021-01-16,4.4,-1.0,11.1,0.0,AZ,04001,APACHE,America/Phoenix,True
2021-01-17,3.6,-3.1,11.0,0.0,AZ,04001,APACHE,America/Phoenix,True
2021-01-18,4.9,-0.4,10.6,0.0,AZ,04001,APACHE,America/Phoenix,True
2021-01-19,5.1,2.0,10.9,3.5,AZ,04001,APACHE,America/Phoenix,True
2021-01-20,3.3,-1.8,8.0,0.4,AZ,04001,APACHE,America/Phoenix,True
2021-01-21,4.8,-1.6,10.2,0.0,AZ,04001,APACHE,America/Phoenix,True
2021-01-22,4.9,-0.2,11.5,0.0,AZ,04001,APACHE,America/Phoenix,True
2021-01-23,4.0,0.3,10.4,0.3,AZ,04001,APACHE,America/Phoenix,True
2021-01-24,0.8,-1.8,5.4,2.0,AZ,04001,APACHE,America/Phoenix,True
2021-01-25,-0.4,-4.6,4.5,3.9,AZ,04001,APACHE,America/Phoenix,True
2021-01-26,-4.0,-5.9,-2.2,1.3,AZ,04001,APACHE,America/Phoenix,True
2021-01-27,-2.6,-12.3,8.1,0.0,AZ,04001,APACHE,America/Phoenix,True
2021-01-28,4.9,-1.6,12.7,0.0,AZ,04001,APACHE,America/Phoenix,True
2021-01-29,6.5,0.2,13.0,2.3,AZ,04001,APACHE,America/Phoenix,True
2021-01-30,-0.3,-3.5,4.1,0.0,AZ,04001,APACHE,America/Phoenix,True
2021-01-31,0.6,-6.9,9.4,0.0,AZ,04001,APACHE,America/Phoenix,True
2021-02-01,3.3,-3.3,10.4,0.0,AZ,04001,APACHE,America/Phoenix,True
2021-02-02,9.0,2.1,16.0,0.0,AZ,04001,APACHE,America/Phoenix,True
2021-02-03,8.7,4.1,12.8,0.2,AZ,04001,APACHE,America/Phoenix,True
2021-02-04,5.1,0.2,8.8,0.0,AZ,04001,APACHE,America/Phoenix,True
2021-02-05,2.6,-4.2,9.8,0.0,AZ,04001,APACHE,America/Phoenix,True
2021-02-06,3.6,-3.2,9.9,0.0,AZ,04001,APACHE,America/Phoenix,True
2021-02-07,6.5,-0.5,13.5,0.0,AZ,04001,APACHE,America/Phoenix,True
2021-02-08,8.2,-0.6,16.5,0.0,AZ,04001,APACHE,America/Phoenix,True
